NS_SQUID,F_SQUID,NS_Fluxgate,EW_Fluxgate,Z_Fluxgate
127.6708,10.7004,10939.8656,-79.5515,-22665.8952
127.6694,10.7089,10939.8656,-79.5416,-22665.8966
127.6778,10.7462,10939.8656,-79.5416,-22665.8966
127.6835,10.7848,10939.8669,-79.5551,-22665.8545
127.6882,10.826,10939.8669,-79.5551,-22665.8545
127.689,10.8437,10939.8707,-79.5244,-22665.871
127.6902,10.8773,10939.8688,-79.5328,-22665.8758
127.6892,10.9098,10939.8688,-79.5328,-22665.8758
127.6881,10.9277,10939.8761,-79.524,-22665.8183
127.6864,10.9183,10939.8761,-79.524,-22665.8183
127.6859,10.9153,10939.8633,-79.5653,-22665.7909
127.6829,10.9021,10939.8655,-79.5815,-22665.7919
127.6839,10.8757,10939.8655,-79.5815,-22665.7919
127.6836,10.8631,10939.8552,-79.5919,-22665.7167
127.6837,10.8724,10939.8552,-79.5919,-22665.7167
127.6822,10.8754,10939.8577,-79.5597,-22665.6814
127.6835,10.8798,10939.8491,-79.5781,-22665.6491
127.682,10.8832,10939.8491,-79.5781,-22665.6491
127.685,10.8958,10939.8544,-79.5291,-22665.713
127.6885,10.9087,10939.8544,-79.5291,-22665.713
127.6914,10.9121,10939.8443,-79.5118,-22665.6998
127.6886,10.9321,10939.841,-79.3824,-22665.7553
127.6898,10.937,10939.841,-79.3824,-22665.7553
127.6879,10.9534,10939.8255,-79.1638,-22665.7243
127.6877,10.9576,10939.8255,-79.1638,-22665.7243
127.6859,10.9551,10939.8383,-79.0359,-22665.6271
127.6868,10.9522,10939.8359,-78.9776,-22665.5529
127.6861,10.9541,10939.8359,-78.9776,-22665.5529
127.6864,10.9535,10939.8296,-78.9937,-22665.4812
127.6849,10.9521,10939.8296,-78.9937,-22665.4812
127.684,10.9385,10939.8283,-79.011,-22665.5117
127.6844,10.9248,10939.8283,-79.0258,-22665.4716
127.6847,10.9321,10939.8283,-79.0258,-22665.4716
127.6849,10.928,10939.8402,-78.969,-22665.4872
127.683,10.9246,10939.8402,-78.969,-22665.4872
127.6821,10.9179,10939.8338,-78.9598,-22665.496
127.6826,10.9146,10939.8301,-78.9532,-22665.5519
127.6801,10.9047,10939.8301,-78.9532,-22665.5519
127.6805,10.8979,10939.8322,-79.2017,-22665.5726
127.6804,10.8919,10939.8322,-79.2017,-22665.5726
127.6768,10.8775,10939.8336,-79.2379,-22665.5775
127.6767,10.8462,10939.831,-79.509,-22665.6346
127.6773,10.8274,10939.831,-79.509,-22665.6346
127.6777,10.8161,10939.8264,-79.5734,-22665.6355
127.6799,10.8162,10939.8258,-79.5779,-22665.6392
127.6799,10.8047,10939.8258,-79.5779,-22665.6392
127.681,10.8127,10939.8167,-79.5384,-22665.6203
127.6814,10.8075,10939.8167,-79.5384,-22665.6203
127.6783,10.8081,10939.8044,-79.4912,-22665.7109
127.6764,10.8019,10939.8076,-79.4811,-22665.7345
127.6738,10.7936,10939.8076,-79.4811,-22665.7345
127.6727,10.7835,10939.8299,-79.4685,-22665.8628
127.6729,10.7715,10939.8299,-79.4685,-22665.8628
127.6721,10.7638,10939.8322,-79.503,-22665.84
127.6718,10.7499,10939.8261,-79.5003,-22665.7992
127.673,10.7385,10939.8261,-79.5003,-22665.7992
127.6715,10.7284,10939.8038,-79.5318,-22665.6451
127.6712,10.7535,10939.8038,-79.5318,-22665.6451
127.671,10.7536,10939.8039,-79.4762,-22665.6502
127.6715,10.758,10939.8129,-79.4748,-22665.6797
127.6714,10.7512,10939.8129,-79.4748,-22665.6797
127.6706,10.7527,10939.8114,-79.3909,-22665.7053
127.6727,10.7516,10939.8114,-79.3909,-22665.7053
127.6728,10.7463,10939.8225,-79.3811,-22665.7544
127.6741,10.7431,10939.8254,-79.3515,-22665.7502
127.6728,10.7493,10939.8254,-79.3515,-22665.7502
127.6735,10.7457,10939.8506,-79.3296,-22665.81
127.6725,10.744,10939.8506,-79.3296,-22665.81
127.6697,10.7453,10939.8414,-79.3081,-22665.7732
127.6695,10.7348,10939.8315,-79.3509,-22665.7772
127.6697,10.7118,10939.8315,-79.3509,-22665.7772
127.6709,10.7134,10939.8082,-79.3229,-22665.7398
127.6743,10.7138,10939.8082,-79.3229,-22665.7398
127.6767,10.7218,10939.8043,-79.3645,-22665.7189
127.6787,10.7238,10939.7994,-79.315,-22665.7059
127.6814,10.7221,10939.7994,-79.315,-22665.7059
127.6792,10.7326,10939.789,-79.4107,-22665.8414
127.6794,10.729,10939.789,-79.4107,-22665.8414
127.6818,10.7341,10939.7875,-79.4106,-22665.8448
127.6821,10.7313,10939.7936,-79.4224,-22665.8324
127.6827,10.7307,10939.7936,-79.4224,-22665.8324
127.6841,10.7096,10939.8096,-79.3951,-22665.773
127.6875,10.7419,10939.8096,-79.3951,-22665.773
127.6879,10.7538,10939.8079,-79.4006,-22665.78
127.6917,10.7541,10939.7961,-79.4204,-22665.7983
127.6922,10.7771,10939.7961,-79.4204,-22665.7983
127.695,10.7912,10939.7895,-79.5198,-22665.8232
127.697,10.8055,10939.7895,-79.5198,-22665.8232
